device_number,device_type,device_status,status_date,bin,borough,house_number,street_name,block,lot,zip_code,latitude,longitude,communitydistrict,citycouncildistrict,bbl,censustract,ntaname,equipment_type,periodic_report_year,cat1_report_year,cat1_latest_report_filed,cat5_latest_report_filed,periodic_latest_inspection
1W5989,Accessibility Lift,Deleted,2007-04-13T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1W5299,Accessibility Lift,Active,2022-12-02T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,PlatformStairwayChairLifts,2026,2026,2026-03-25T00:00:00.000,2013-12-19T00:00:00.000,2026-06-29T00:00:00.000
1P332,Elevator,Active,2019-12-02T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,2026,2026,2026-05-05T00:00:00.000,2022-09-14T00:00:00.000,2026-02-02T00:00:00.000
1P324,Elevator,Active,2019-12-02T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,2026,2026,2026-05-04T00:00:00.000,2022-09-12T00:00:00.000,2026-02-02T00:00:00.000
1W5997,Accessibility Lift,Deleted,2007-04-17T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1E356,Escalator,Removed,1989-06-09T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1W5961,Accessibility Lift,Work in Progress,2006-09-07T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1P329,Elevator,Removed,2001-01-29T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1P323,Elevator,Active,2019-12-02T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,2026,2026,2026-05-04T00:00:00.000,2022-09-12T00:00:00.000,2026-02-02T00:00:00.000
1P325,Elevator,Removed,2006-06-13T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1P330,Elevator,Active,2019-12-02T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,2026,2026,2026-05-04T00:00:00.000,2022-09-13T00:00:00.000,2026-02-02T00:00:00.000
1W5994,Accessibility Lift,Deleted,2007-04-13T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
1W5990,Accessibility Lift,Deleted,2007-04-17T00:00:00.000,1000827,Manhattan,55,WALL STREET,27,7501,10005,40.70632,-74.009407,101,01,1000277501,7,Financial District-Battery Park City,,,,,,
